Datasets, Metrics, , , Mean-Field, , , , , , , , SLANG, , , , , , Full-Gaussian, , , , 
, , EF (mean), (se), Hessian (mean), (se), Exact (mean), (se), L = 1 (mean), (se), L = 2 (mean), (se), L = 5 (mean), (se), L = 10 (mean), (se), EF (mean), (se), Hessian (mean), (se), Exact (mean), (se), 
, ELBO, 0.613857, 0.005950, 0.612498, 0.005914, 0.593273, 0.005828, 0.574412, 0.005545, 0.574308, 0.005520, 0.568994, 0.005604, 0.565852, 0.005828, 0.560128, 0.005866, 0.558306, 0.005897, 0.558308, 0.005897, 
Australian, NLL, 0.347964, 0.006861, 0.347229, 0.006834, 0.341253, 0.007187, 0.341511, 0.006545, 0.341574, 0.006539, 0.339198, 0.006458, 0.338220, 0.006591, 0.339621, 0.007205, 0.338642, 0.007152, 0.338651, 0.007107, 
, KL, 22397.808881, 3458.653042, 20301.319220, 3145.559712, 1945.985213, 214.194424, 331.828775, 68.344474, 313.387025, 66.611334, 83.930764, 19.875832, 17.261078, 3.178606, 0.761768, 0.037490, 0.011263, 0.001308, 0.000000, 0.000000, 
, ELBO, 0.121679, 0.002777, 0.120803, 0.002832, 0.120515, 0.002831, 0.111653, 0.002866, 0.111113, 0.002822, 0.111435, 0.002838, 0.110711, 0.002830, 0.110712, 0.002830, 0.108640, 0.002873, 0.108638, 0.002873, 
Breast Cancer, NLL, 0.095019, 0.002415, 0.094269, 0.002347, 0.093674, 0.002434, 0.092090, 0.002297, 0.091834, 0.002313, 0.091947, 0.002282, 0.092048, 0.002296, 0.092048, 0.002296, 0.091211, 0.002320, 0.091240, 0.002323, 
, KL, 8.018760, 0.254002, 9.070557, 0.175016, 7.771284, 0.117336, 0.911170, 0.017685, 0.756021, 0.029007, 0.841779, 0.023960, 0.637638, 0.022201, 0.637320, 0.022114, 0.001715, 0.000289, 0.000000, 0.000000, 
, ELBO, 0.383808, 0.000000, 0.383279, 0.000000, 0.382769, 0.000000, 0.376594, 0.000000, 0.375859, 0.000000, 0.374402, 0.000000, 0.373222, 0.000000, 0.368644, 0.000000, 0.367775, 0.000000, 0.367768, 0.000000, 
a1a, NLL, 0.339044, 0.000000, 0.338921, 0.000000, 0.338525, 0.000000, 0.338552, 0.000000, 0.338543, 0.000000, 0.338563, 0.000000, 0.338579, 0.000000, 0.338604, 0.000000, 0.338542, 0.000000, 0.338522, 0.000000, 
, KL, 258.956527, 0.000000, 220.822661, 0.000000, 129.464044, 0.000000, 30.505413, 0.000000, 24.900999, 0.000000, 17.306504, 0.000000, 11.790013, 0.000000, 1.407138, 0.000000, 0.014694, 0.000000, -0.000000, 0.000000, 
, ELBO, 0.267892, 0.002861, 0.267500, 0.002856, 0.267193, 0.002849, 0.209575, 0.002474, 0.205867, 0.002447, 0.197942, 0.002361, 0.192940, 0.002292, 0.188577, 0.002186, 0.185955, 0.002208, 0.185957, 0.002209, 
USPS 3vs5, NLL, 0.138967, 0.001988, 0.138776, 0.001968, 0.138311, 0.001965, 0.132455, 0.001927, 0.132488, 0.001915, 0.131745, 0.001926, 0.131353, 0.001923, 0.130876, 0.001957, 0.130020, 0.001957, 0.130026, 0.001958, 
, KL, 76.836330, 1.484470, 71.878413, 0.978190, 70.834379, 0.892712, 14.923870, 0.198771, 12.456636, 0.174513, 7.546674, 0.109941, 4.481048, 0.057746, 1.796903, 0.022365, 0.011834, 0.002105, -0.000000, 0.000000, 
